Brand,Version,Color,Cost,RealCost,StarReview,Rating,Reviews,RAM (GB),ROM (GB),DisplaySize (cm)
SAMSUNG,T3 Pro,Black,11499,20999,4.2,49567,2279,6,128,16.76
Nokia,105 Single SIM,Black,1181,1399,4,24920,7538,0.032,0.032,4.5
I,T3 Pro,Black,1699,2199,4.3,44121,1806,0.032,0.032,6.1
Motorola,T3 Pro,Brilliant Blue,12999,14999,4.4,56193,2540,8,128,16.51
Motorola,T3 Pro,Olive Green,17999,20999,4.5,95052,4655,8,128,16.94
vivo,T3 Pro,Emerald Green,26999,31999,4.5,24998,1646,8,256,17.2
vivo,T3 Pro,Emerald Green,24999,29999,4.5,24998,1646,8,128,17.2
vivo,T3 Pro,Sandstone Orange,26999,31999,4.5,24998,1646,8,256,17.2
OnePlus,Nord CE 3 Lite 5G,Pastel Lime,14999,19999,4.4,33905,6853,8,128,17.07
REDMI,13C,Starshine Green,7199,11999,4.3,69795,3014,4,128,17.12
SAMSUNG,T3 Pro,Dark Red,9499,18499,4.2,31164,1385,4,64,16.76
Motorola,T3 Pro,Marshmallow Blue,22999,25999,4.5,76737,4786,8,128,17.02
Motorola,T3 Pro,Brilliant Green,12999,14999,4.4,56193,2540,8,128,16.51
Apple,iPhone 15,Black,65999,79900,4.6,32437,1806,8,128,17.02
POCO,C61,Mystical Green,5799,8999,4.1,45049,1623,4,64,17.04
Motorola,T3 Pro,Ice Lilac,16999,19999,4.2,50347,3113,12,256,16.51
vivo,T3 Pro,Sandstone Orange,24999,29999,4.5,24998,1646,8,128,17.2
POCO,C61,Diamond Dust Black,5799,8999,4.1,45049,1623,4,64,17.04
REDMI,13C,Starfrost White,7199,11999,4.3,69795,3014,4,128,17.12
REDMI,T3 Pro,Starlight Black,13258,17999,4.2,7042,350,8,256,17.12
POCO,T3 Pro,Galactic Black,7999,11999,4.2,96470,4609,4,64,17.12
SAMSUNG,T3 Pro,Black,10499,15499,4.2,31164,1385,4,128,16.76
REDMI,T3 Pro,Startrail Silver,13400,17999,4.2,7042,350,8,256,17.12
REDMI,T3 Pro,Starlight Black,9268,13999,4.3,30138,1155,4,128,17.12
SAMSUNG,T3 Pro,Black,11499,20999,4.2,49567,2279,6,128,16.76
Nokia,105 Single SIM,Black,1181,1399,4,24920,7538,0.032,0.032,4.5
I,T3 Pro,Black,1699,2199,4.3,44121,1806,0.032,0.032,6.1
Motorola,T3 Pro,Brilliant Blue,12999,14999,4.4,56193,2540,8,128,16.51
Motorola,T3 Pro,Olive Green,17999,20999,4.5,95052,4655,8,128,16.94
vivo,T3 Pro,Emerald Green,26999,31999,4.5,24998,1646,8,256,17.2
vivo,T3 Pro,Emerald Green,24999,29999,4.5,24998,1646,8,128,17.2
vivo,T3 Pro,Sandstone Orange,26999,31999,4.5,24998,1646,8,256,17.2
OnePlus,Nord CE 3 Lite 5G,Pastel Lime,14999,19999,4.4,33905,6853,8,128,17.07
REDMI,13C,Starshine Green,7199,11999,4.3,69795,3014,4,128,17.12
SAMSUNG,T3 Pro,Dark Red,9499,18499,4.2,31164,1385,4,64,16.76
Motorola,T3 Pro,Marshmallow Blue,22999,25999,4.5,76737,4786,8,128,17.02
Motorola,T3 Pro,Brilliant Green,12999,14999,4.4,56193,2540,8,128,16.51
Apple,iPhone 15,Black,65999,79900,4.6,32437,1806,8,128,17.02
POCO,C61,Mystical Green,5799,8999,4.1,45049,1623,4,64,17.04
Motorola,T3 Pro,Ice Lilac,16999,19999,4.2,50347,3113,12,256,16.51
vivo,T3 Pro,Sandstone Orange,24999,29999,4.5,24998,1646,8,128,17.2
POCO,C61,Diamond Dust Black,5799,8999,4.1,45049,1623,4,64,17.04
REDMI,13C,Starfrost White,7199,11999,4.3,69795,3014,4,128,17.12
REDMI,T3 Pro,Starlight Black,13258,17999,4.2,7042,350,8,256,17.12
POCO,T3 Pro,Galactic Black,7999,11999,4.2,96470,4609,4,64,17.12
SAMSUNG,T3 Pro,Black,10499,15499,4.2,31164,1385,4,128,16.76
REDMI,T3 Pro,Startrail Silver,13400,17999,4.2,7042,350,8,256,17.12
REDMI,T3 Pro,Starlight Black,9268,13999,4.3,30138,1155,4,128,17.12
SAMSUNG,T3 Pro,Black,11499,20999,4.2,49567,2279,6,128,16.76
Motorola,T3 Pro,Olive Green,17999,20999,4.5,95052,4655,8,128,16.94
Nokia,105 Single SIM,Black,1181,1399,4,24920,7538,0.032,0.032,4.5
Apple,iPhone 15,Pink,65999,79900,4.6,32437,1806,8,128,17.02
vivo,T3 Pro,Emerald Green,26999,31999,4.5,24998,1646,8,256,17.2
vivo,T3 Pro,Sandstone Orange,26999,31999,4.5,24998,1646,8,256,17.2
vivo,T3 Pro,Emerald Green,24999,29999,4.5,24998,1646,8,128,17.2
REDMI,13C,Starshine Green,7199,11999,4.3,69795,3014,4,128,17.12
OnePlus,Nord CE 3 Lite 5G,Pastel Lime,14999,19999,4.4,33905,6853,8,128,17.07
OnePlus,Nord CE 3 Lite 5G,Chromatic Gray,14949,19999,4.4,33905,6853,8,128,17.07
Motorola,T3 Pro,Brilliant Green,12999,14999,4.4,56193,2540,8,128,16.51
SAMSUNG,T3 Pro,Dark Red,9499,18499,4.2,31164,1385,4,64,16.76
SAMSUNG,T3 Pro,Black,10499,15499,4.2,31164,1385,4,128,16.76
vivo,T3 Pro,Sandstone Orange,24999,29999,4.5,24998,1646,8,128,17.2
POCO,C61,Ethereal Blue,5799,8999,4.1,45049,1623,4,64,17.04
Motorola,T3 Pro,Ice Lilac,16999,19999,4.2,50347,3113,12,256,16.51
Apple,iPhone 15,Blue,65999,79900,4.6,32437,1806,8,128,17.02
POCO,C61,Mystical Green,5799,8999,4.1,45049,1623,4,64,17.04
Apple,iPhone 15,Black,65999,79900,4.6,32437,1806,8,128,17.02
Motorola,T3 Pro,Marshmallow Blue,22999,25999,4.5,76737,4786,8,128,17.02
POCO,C61,Diamond Dust Black,5799,8999,4.1,45049,1623,4,64,17.04
REDMI,13C,Starfrost White,7199,11999,4.3,69795,3014,4,128,17.12
REDMI,T3 Pro,Starlight Black,13258,17999,4.2,7042,350,8,256,17.12
POCO,T3 Pro,Galactic Black,7999,11999,4.2,96470,4609,4,64,17.12
SAMSUNG,T3 Pro,Black,11499,20999,4.2,49567,2279,6,128,16.76
Nokia,105 Single SIM,Black,1181,1399,4,24920,7538,0.032,0.032,4.5
I,T3 Pro,Black,1699,2199,4.3,44121,1806,0.032,0.032,6.1
Motorola,T3 Pro,Brilliant Blue,12999,14999,4.4,56193,2540,8,128,16.51
Motorola,T3 Pro,Olive Green,17999,20999,4.5,95052,4655,8,128,16.94
vivo,T3 Pro,Emerald Green,26999,31999,4.5,24998,1646,8,256,17.2
vivo,T3 Pro,Emerald Green,24999,29999,4.5,24998,1646,8,128,17.2
vivo,T3 Pro,Sandstone Orange,26999,31999,4.5,24998,1646,8,256,17.2
OnePlus,Nord CE 3 Lite 5G,Pastel Lime,14999,19999,4.4,33905,6853,8,128,17.07
REDMI,13C,Starshine Green,7199,11999,4.3,69795,3014,4,128,17.12
SAMSUNG,T3 Pro,Dark Red,9499,18499,4.2,31164,1385,4,64,16.76
Motorola,T3 Pro,Marshmallow Blue,22999,25999,4.5,76737,4786,8,128,17.02
Motorola,T3 Pro,Brilliant Green,12999,14999,4.4,56193,2540,8,128,16.51
Apple,iPhone 15,Black,65999,79900,4.6,32437,1806,8,128,17.02
POCO,C61,Mystical Green,5799,8999,4.1,45049,1623,4,64,17.04
Motorola,T3 Pro,Ice Lilac,16999,19999,4.2,50347,3113,12,256,16.51
vivo,T3 Pro,Sandstone Orange,24999,29999,4.5,24998,1646,8,128,17.2
POCO,C61,Diamond Dust Black,5799,8999,4.1,45049,1623,4,64,17.04
REDMI,13C,Starfrost White,7199,11999,4.3,69795,3014,4,128,17.12
REDMI,T3 Pro,Starlight Black,13258,17999,4.2,7042,350,8,256,17.12
POCO,T3 Pro,Galactic Black,7999,11999,4.2,96470,4609,4,64,17.12
SAMSUNG,T3 Pro,Black,10499,15499,4.2,31164,1385,4,128,16.76
REDMI,T3 Pro,Startrail Silver,13400,17999,4.2,7042,350,8,256,17.12
REDMI,T3 Pro,Starlight Black,9268,13999,4.3,30138,1155,4,128,17.12
Motorola,T3 Pro,Brilliant Blue,12999,14999,4.4,56193,2540,8,128,16.51
OnePlus,Nord CE 3 Lite 5G,Chromatic Gray,14953,19999,4.4,33905,6853,8,128,17.07
Nokia,105 Single SIM,Black,1181,1399,4,24920,7538,0.032,0.032,4.5
Apple,iPhone 15,Pink,65999,79900,4.6,32437,1806,8,128,17.02
vivo,T3 Pro,Emerald Green,26999,31999,4.5,24998,1646,8,256,17.2
vivo,T3 Pro,Sandstone Orange,26999,31999,4.5,24998,1646,8,256,17.2
Motorola,T3 Pro,Olive Green,17999,20999,4.5,95052,4655,8,128,16.94
vivo,T3 Pro,Emerald Green,24999,29999,4.5,24998,1646,8,128,17.2
REDMI,13C,Starshine Green,7199,11999,4.3,69795,3014,4,128,17.12
OnePlus,Nord CE 3 Lite 5G,Pastel Lime,14999,19999,4.4,33905,6853,8,128,17.07
POCO,C61,Mystical Green,5799,8999,4.1,45049,1623,4,64,17.04
Motorola,T3 Pro,Brilliant Green,12999,14999,4.4,56193,2540,8,128,16.51
SAMSUNG,T3 Pro,Black,10499,15499,4.2,31164,1385,4,128,16.76
vivo,T3 Pro,Sandstone Orange,24999,29999,4.5,24998,1646,8,128,17.2
SAMSUNG,T3 Pro,Dark Red,9499,18499,4.2,31164,1385,4,64,16.76
Motorola,T3 Pro,Marshmallow Blue,22999,25999,4.5,76737,4786,8,128,17.02
Motorola,T3 Pro,Ice Lilac,16999,19999,4.2,50347,3113,12,256,16.51
POCO,C61,Ethereal Blue,5799,8999,4.1,45049,1623,4,64,17.04
Apple,iPhone 15,Blue,65999,79900,4.6,32437,1806,8,128,17.02
Apple,iPhone 15,Black,65999,79900,4.6,32437,1806,8,128,17.02
REDMI,13C,Starfrost White,7199,11999,4.3,69795,3014,4,128,17.12
POCO,C61,Diamond Dust Black,5799,8999,4.1,45049,1623,4,64,17.04
REDMI,T3 Pro,Starlight Black,13258,17999,4.2,7042,350,8,256,17.12
POCO,T3 Pro,Galactic Black,7999,11999,4.2,96470,4609,4,64,17.12
SAMSUNG,T3 Pro,Black,11499,20999,4.2,49567,2279,6,128,16.76
Motorola,T3 Pro,Olive Green,17999,20999,4.5,95052,4655,8,128,16.94
Nokia,105 Single SIM,Black,1181,1399,4,24920,7538,0.032,0.032,4.5
Apple,iPhone 15,Pink,65999,79900,4.6,32437,1806,8,128,17.02
vivo,T3 Pro,Emerald Green,26999,31999,4.5,24998,1646,8,256,17.2
vivo,T3 Pro,Sandstone Orange,26999,31999,4.5,24998,1646,8,256,17.2
vivo,T3 Pro,Emerald Green,24999,29999,4.5,24998,1646,8,128,17.2
REDMI,13C,Starshine Green,7199,11999,4.3,69795,3014,4,128,17.12
OnePlus,Nord CE 3 Lite 5G,Pastel Lime,14999,19999,4.4,33905,6853,8,128,17.07
OnePlus,Nord CE 3 Lite 5G,Chromatic Gray,14949,19999,4.4,33905,6853,8,128,17.07
Motorola,T3 Pro,Brilliant Green,12999,14999,4.4,56193,2540,8,128,16.51
SAMSUNG,T3 Pro,Dark Red,9499,18499,4.2,31164,1385,4,64,16.76
SAMSUNG,T3 Pro,Black,10499,15499,4.2,31164,1385,4,128,16.76
vivo,T3 Pro,Sandstone Orange,24999,29999,4.5,24998,1646,8,128,17.2
POCO,C61,Ethereal Blue,5799,8999,4.1,45049,1623,4,64,17.04
Motorola,T3 Pro,Ice Lilac,16999,19999,4.2,50347,3113,12,256,16.51
Apple,iPhone 15,Blue,65999,79900,4.6,32437,1806,8,128,17.02
POCO,C61,Mystical Green,5799,8999,4.1,45049,1623,4,64,17.04
Apple,iPhone 15,Black,65999,79900,4.6,32437,1806,8,128,17.02
Motorola,T3 Pro,Marshmallow Blue,22999,25999,4.5,76737,4786,8,128,17.02
POCO,C61,Diamond Dust Black,5799,8999,4.1,45049,1623,4,64,17.04
REDMI,13C,Starfrost White,7199,11999,4.3,69795,3014,4,128,17.12
REDMI,T3 Pro,Starlight Black,13258,17999,4.2,7042,350,8,256,17.12
POCO,T3 Pro,Galactic Black,7999,11999,4.2,96470,4609,4,64,17.12
SAMSUNG,T3 Pro,Black,11499,20999,4.2,49567,2279,6,128,16.76
Motorola,T3 Pro,Olive Green,17999,20999,4.5,95052,4655,8,128,16.94
Nokia,105 Single SIM,Black,1181,1399,4,24920,7538,0.032,0.032,4.5
Apple,iPhone 15,Pink,65999,79900,4.6,32437,1806,8,128,17.02
vivo,T3 Pro,Emerald Green,26999,31999,4.5,24998,1646,8,256,17.2
vivo,T3 Pro,Sandstone Orange,26999,31999,4.5,24998,1646,8,256,17.2
vivo,T3 Pro,Emerald Green,24999,29999,4.5,24998,1646,8,128,17.2
REDMI,13C,Starshine Green,7199,11999,4.3,69795,3014,4,128,17.12
OnePlus,Nord CE 3 Lite 5G,Pastel Lime,14999,19999,4.4,33905,6853,8,128,17.07
OnePlus,Nord CE 3 Lite 5G,Chromatic Gray,14949,19999,4.4,33905,6853,8,128,17.07
Motorola,T3 Pro,Brilliant Green,12999,14999,4.4,56193,2540,8,128,16.51
SAMSUNG,T3 Pro,Dark Red,9499,18499,4.2,31164,1385,4,64,16.76
SAMSUNG,T3 Pro,Black,10499,15499,4.2,31164,1385,4,128,16.76
vivo,T3 Pro,Sandstone Orange,24999,29999,4.5,24998,1646,8,128,17.2
POCO,C61,Ethereal Blue,5799,8999,4.1,45049,1623,4,64,17.04
Motorola,T3 Pro,Ice Lilac,16999,19999,4.2,50347,3113,12,256,16.51
Apple,iPhone 15,Blue,65999,79900,4.6,32437,1806,8,128,17.02
POCO,C61,Mystical Green,5799,8999,4.1,45049,1623,4,64,17.04
Apple,iPhone 15,Black,65999,79900,4.6,32437,1806,8,128,17.02
Motorola,T3 Pro,Marshmallow Blue,22999,25999,4.5,76737,4786,8,128,17.02
POCO,C61,Diamond Dust Black,5799,8999,4.1,45049,1623,4,64,17.04
REDMI,13C,Starfrost White,7199,11999,4.3,69795,3014,4,128,17.12
REDMI,T3 Pro,Starlight Black,13258,17999,4.2,7042,350,8,256,17.12
POCO,T3 Pro,Galactic Black,7999,11999,4.2,96470,4609,4,64,17.12
SAMSUNG,T3 Pro,Black,11499,20999,4.2,49567,2279,6,128,16.76
Motorola,T3 Pro,Olive Green,17999,20999,4.5,95052,4655,8,128,16.94
Nokia,105 Single SIM,Black,1181,1399,4,24920,7538,0.032,0.032,4.5
Apple,iPhone 15,Pink,65999,79900,4.6,32437,1806,8,128,17.02
vivo,T3 Pro,Emerald Green,26999,31999,4.5,24998,1646,8,256,17.2
vivo,T3 Pro,Sandstone Orange,26999,31999,4.5,24998,1646,8,256,17.2
vivo,T3 Pro,Emerald Green,24999,29999,4.5,24998,1646,8,128,17.2
REDMI,13C,Starshine Green,7199,11999,4.3,69795,3014,4,128,17.12
OnePlus,Nord CE 3 Lite 5G,Pastel Lime,14999,19999,4.4,33905,6853,8,128,17.07
OnePlus,Nord CE 3 Lite 5G,Chromatic Gray,14949,19999,4.4,33905,6853,8,128,17.07
Motorola,T3 Pro,Brilliant Green,12999,14999,4.4,56193,2540,8,128,16.51
SAMSUNG,T3 Pro,Dark Red,9499,18499,4.2,31164,1385,4,64,16.76
SAMSUNG,T3 Pro,Black,10499,15499,4.2,31164,1385,4,128,16.76
vivo,T3 Pro,Sandstone Orange,24999,29999,4.5,24998,1646,8,128,17.2
POCO,C61,Ethereal Blue,5799,8999,4.1,45049,1623,4,64,17.04
Motorola,T3 Pro,Ice Lilac,16999,19999,4.2,50347,3113,12,256,16.51
Apple,iPhone 15,Blue,65999,79900,4.6,32437,1806,8,128,17.02
POCO,C61,Mystical Green,5799,8999,4.1,45049,1623,4,64,17.04
Apple,iPhone 15,Black,65999,79900,4.6,32437,1806,8,128,17.02
Motorola,T3 Pro,Marshmallow Blue,22999,25999,4.5,76737,4786,8,128,17.02
POCO,C61,Diamond Dust Black,5799,8999,4.1,45049,1623,4,64,17.04
REDMI,13C,Starfrost White,7199,11999,4.3,69795,3014,4,128,17.12
REDMI,T3 Pro,Starlight Black,13258,17999,4.2,7042,350,8,256,17.12
POCO,T3 Pro,Galactic Black,7999,11999,4.2,96470,4609,4,64,17.12
Motorola,T3 Pro,Brilliant Blue,12999,14999,4.4,56193,2540,8,128,16.51
OnePlus,Nord CE 3 Lite 5G,Chromatic Gray,14953,19999,4.4,33905,6853,8,128,17.07
Nokia,105 Single SIM,Black,1181,1399,4,24920,7538,0.032,0.032,4.5
Apple,iPhone 15,Pink,65999,79900,4.6,32437,1806,8,128,17.02
vivo,T3 Pro,Emerald Green,26999,31999,4.5,24998,1646,8,256,17.2
vivo,T3 Pro,Sandstone Orange,26999,31999,4.5,24998,1646,8,256,17.2
Motorola,T3 Pro,Olive Green,17999,20999,4.5,95052,4655,8,128,16.94
vivo,T3 Pro,Emerald Green,24999,29999,4.5,24998,1646,8,128,17.2
REDMI,13C,Starshine Green,7199,11999,4.3,69795,3014,4,128,17.12
OnePlus,Nord CE 3 Lite 5G,Pastel Lime,14999,19999,4.4,33905,6853,8,128,17.07
POCO,C61,Mystical Green,5799,8999,4.1,45049,1623,4,64,17.04
Motorola,T3 Pro,Brilliant Green,12999,14999,4.4,56193,2540,8,128,16.51
SAMSUNG,T3 Pro,Black,10499,15499,4.2,31164,1385,4,128,16.76
vivo,T3 Pro,Sandstone Orange,24999,29999,4.5,24998,1646,8,128,17.2
SAMSUNG,T3 Pro,Dark Red,9499,18499,4.2,31164,1385,4,64,16.76
Motorola,T3 Pro,Marshmallow Blue,22999,25999,4.5,76737,4786,8,128,17.02
Motorola,T3 Pro,Ice Lilac,16999,19999,4.2,50347,3113,12,256,16.51
POCO,C61,Ethereal Blue,5799,8999,4.1,45049,1623,4,64,17.04
Apple,iPhone 15,Blue,65999,79900,4.6,32437,1806,8,128,17.02
Apple,iPhone 15,Black,65999,79900,4.6,32437,1806,8,128,17.02
REDMI,13C,Starfrost White,7199,11999,4.3,69795,3014,4,128,17.12
POCO,C61,Diamond Dust Black,5799,8999,4.1,45049,1623,4,64,17.04
REDMI,T3 Pro,Starlight Black,13258,17999,4.2,7042,350,8,256,17.12
POCO,T3 Pro,Galactic Black,7999,11999,4.2,96470,4609,4,64,17.12
SAMSUNG,T3 Pro,Black,11499,20999,4.2,49567,2279,6,128,16.76
Nokia,105 Single SIM,Black,1181,1399,4,24920,7538,0.032,0.032,4.5
I,T3 Pro,Black,1699,2199,4.3,44121,1806,0.032,0.032,6.1
Motorola,T3 Pro,Brilliant Blue,12999,14999,4.4,56193,2540,8,128,16.51
Motorola,T3 Pro,Olive Green,17999,20999,4.5,95052,4655,8,128,16.94
vivo,T3 Pro,Emerald Green,26999,31999,4.5,24998,1646,8,256,17.2
vivo,T3 Pro,Emerald Green,24999,29999,4.5,24998,1646,8,128,17.2
vivo,T3 Pro,Sandstone Orange,26999,31999,4.5,24998,1646,8,256,17.2
OnePlus,Nord CE 3 Lite 5G,Pastel Lime,14999,19999,4.4,33905,6853,8,128,17.07
REDMI,13C,Starshine Green,7199,11999,4.3,69795,3014,4,128,17.12
SAMSUNG,T3 Pro,Dark Red,9499,18499,4.2,31164,1385,4,64,16.76
